,Yt.1M,Industry,MR,TRC,BAB,EV,P/B,PSR,ROA,C/A,D/A,PG,AG,cluster
100,0.1381,M1500 ¹q¾÷¾÷±ñ,0.4477,-0.3656,1.0285,30831321899.0,5.34,14.9437,2.11,0.0776,51.56,0.5819,0.0668,3
101,-0.0083,M1500 ¹q¾÷¾÷±ñ,0.0568,0.3632,0.8889,8219098141.0,2.35,3.7582,2.7,0.3972,58.05,4.1966,0.2925,3
102,0.201,M9900 ¨ä¥L,0.1371,6.4532,0.5206,772238180.0,1.36,2.6572,3.76,0.1987,1.28,0.7235,-0.0077,1
103,-0.003,M1500 ¹q¾÷¾÷±ñ,0.0719,-0.6754,0.4525,3653005229.0,0.98,9.8069,0.11,0.2659,15.57,-4.646,-0.1129,3
104,0.2137,M1500 ¹q¾÷¾÷±ñ,0.5222,0.3682,1.0899,195840867737.0,35.13,64.4743,3.69,0.1951,69.82,1.907,0.3691,3
105,-0.0306,M2200 ¨T¨®¤u·~,-0.0632,-0.5977,0.3571,2994398253.0,1.69,2.8143,1.0,0.1227,44.04,0.6737,-0.0324,3
106,0.0689,M2200 ¨T¨®¤u·~,0.5071,-0.1849,0.4812,21302530857.0,1.71,4.1763,2.76,0.0611,61.28,2.1174,0.069,3
107,-0.0373,M2200 ¨T¨®¤u·~,0.1536,-0.2379,0.7574,5934643252.0,2.24,8.2253,3.26,0.1128,50.05,2.8807,0.0779,3
108,0.0788,M2200 ¨T¨®¤u·~,-0.0381,-0.1374,0.4933,4967845917.0,1.11,16.1011,0.84,0.3124,15.55,-0.7485,0.0056,3
109,-0.0753,M1500 ¹q¾÷¾÷±ñ,0.1075,-0.7505,0.2089,2070000000.0,1.45,12.0663,0.04,0.117,47.11,-1.0755,-0.0571,3
110,0.0162,M1500 ¹q¾÷¾÷±ñ,0.075,0.7015,0.2,5685830500.0,1.18,7.0943,2.84,0.0534,10.83,0.7658,0.0036,3
111,0.0442,M1500 ¹q¾÷¾÷±ñ,-0.1633,-0.702,0.583,2335998445.0,1.04,3.0301,-0.77,0.1362,56.51,-4.9451,0.0478,3
112,-0.0274,M1500 ¹q¾÷¾÷±ñ,0.1143,-0.0816,1.0921,5166852805.0,2.92,35.3526,-0.34,0.086,44.33,-1.364,0.0211,3
113,-0.0169,M1500 ¹q¾÷¾÷±ñ,0.0222,0.3167,0.1851,2970232121.0,0.94,8.1932,0.35,0.1054,44.24,0.1393,-0.0686,3
114,0.0511,M1500 ¹q¾÷¾÷±ñ,0.0341,-0.1012,0.1596,2451247600.0,0.66,6.6048,0.41,0.1723,14.18,1.5035,-0.0272,3
115,-0.0098,M1500 ¹q¾÷¾÷±ñ,0.295,4.5283,0.6599,20689060094.0,1.06,4.256,1.21,0.1311,68.04,22.0326,0.0321,3
116,-0.0502,M2200 ¨T¨®¤u·~,-0.0816,0.5254,0.3292,4715497205.0,2.11,6.4595,-1.22,0.0962,68.8,-0.496,0.0466,3
117,-0.0099,M1500 ¹q¾÷¾÷±ñ,0.2034,0.7447,0.794,8375056785.0,2.52,3.2161,1.76,0.1861,45.25,0.0373,-0.0001,3
118,0.0206,M2200 ¨T¨®¤u·~,0.0514,-0.2498,0.8056,14601435844.0,1.6,9.8163,0.55,0.0421,60.61,0.0745,0.0041,3
119,0.0174,M1500 ¹q¾÷¾÷±ñ,0.0875,0.0382,0.0901,11172348820.0,2.56,6.4147,3.64,0.3256,23.55,0.7145,-0.0013,3
120,0.1302,M1500 ¹q¾÷¾÷±ñ,-0.3261,-0.1556,-0.0984,834225020.0,4.97,45.1103,-6.23,0.208,26.83,-0.5304,-0.3451,3
121,-0.0063,M1500 ¹q¾÷¾÷±ñ,-0.0188,-0.3923,0.6158,1498188882.0,0.99,3.9005,1.75,0.2315,33.74,13.0518,-0.0644,3
122,0.0074,M1500 ¹q¾÷¾÷±ñ,0.1538,0.9174,0.1663,1669718463.0,1.08,13.17,3.21,0.0373,17.16,3.5528,0.1418,3
123,-0.0355,M1500 ¹q¾÷¾÷±ñ,0.019,0.3147,0.3213,2489709640.0,1.28,3.4509,1.75,0.0215,47.07,0.921,0.0615,3
124,-0.0098,M1500 ¹q¾÷¾÷±ñ,-0.0146,-0.4488,0.1718,6468514203.0,1.2,3.5846,1.66,0.2384,28.59,6.3475,-0.0154,3
125,0.2469,M1500 ¹q¾÷¾÷±ñ,0.0147,-0.2801,1.2647,34898125842.0,6.48,21.8773,2.72,0.1599,41.91,0.436,0.0768,3
126,-0.0621,M2200 ¨T¨®¤u·~,0.0277,-0.4921,0.531,3110399819.0,1.77,10.1777,3.06,0.3446,32.41,1.5915,-0.0354,3
