Yt.3M,Yt.2M,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
-0.0095,0.1585,-0.0285,3043 科風,M2331 其他電子業,-0.1429,0.0602,10,-0.4194,0.23,8,-0.3963,0.2421,8,0.5531,0.3779,7,"1,169,269,020",0.9792,1,1.96,0.4294,6,6.7673,0.5772,5,2.95,0.6769,4,1.31,0.5947,5,0.1675,0.5717,5,59.43,0.2136,8,0.5259,0.575,5,0.038,0.5181,5
-0.0829,-0.036,-0.0385,3044 健鼎,M2328 電子零組件,-0.0224,0.253,8,-0.312,0.3286,7,-0.3008,0.3253,7,0.6395,0.2946,8,"110,528,507,957",0.1008,10,2.3,0.3253,7,7.231,0.5509,5,4.07,0.7974,3,2.37,0.8094,2,0.3309,0.8981,2,42.7,0.5235,5,0.6089,0.6101,4,0.0694,0.6616,4
0.068,-0.0058,0.019,3045 台灣大,M2327 通信網路業,0.0714,0.5235,5,0.451,0.6922,4,0.3921,0.7021,4,0.1677,0.839,2,"376,450,810,534",0.0263,10,4.37,0.1041,10,7.7978,0.5071,5,3.66,0.7711,3,1.56,0.6703,4,0.0584,0.207,8,59.42,0.2147,8,0.0933,0.4118,6,0.2484,0.9299,1
0.0535,0.0039,0.0176,3046 建碁,M2325 電腦及週邊,-0.0853,0.1205,9,-0.3157,0.3253,7,-0.2777,0.3494,7,0.7671,0.1972,9,"4,728,163,726",0.7371,3,3.68,0.1369,9,2.9931,0.8664,2,5.5,0.9069,1,2.5,0.8269,2,0.4766,0.9792,1,58.99,0.2212,8,0.4456,0.5476,5,0.5474,0.9847,1
1.1316,1.2789,0.3526,3047 訊舟,M2327 通信網路業,0.1306,0.6681,4,-0.6063,0.1216,9,-0.5716,0.1314,9,0.8461,0.1479,9,"4,261,501,345",0.7579,3,1.34,0.6637,4,4.4445,0.7437,3,-5.1,0.0252,10,-2.11,0.0318,10,0.1703,0.5805,5,58.32,0.23,8,-16.8988,0.0066,10,0.0058,0.3768,7
0.8897,0.9797,0.5213,3048 益登,M2329 電子通路業,-0.0081,0.2903,8,-0.4165,0.2344,8,-0.382,0.2519,8,0.4172,0.5444,5,"6,457,458,698",0.6353,4,1.2,0.7393,3,0.2613,1,1,1.47,0.4403,6,1.45,0.6309,4,0.0647,0.2344,8,80.78,0.0515,10,22.5054,0.989,1,-0.0649,0.1292,9
0.0535,0.1446,0.0182,3049 精金,M2326 光電業,-0.111,0.0942,10,-0.4016,0.2475,8,-0.3594,0.276,8,0.3567,0.6145,4,"6,552,426,022",0.6309,4,0.78,0.9321,1,22.1349,0.161,9,-2.51,0.0613,10,-1.6,0.0416,10,0.0798,0.2859,8,32.99,0.7076,3,-0.3905,0.1774,9,-0.0928,0.0789,10
0.0254,0.2553,-0.0071,3050 鈺德,M2326 光電業,0.211,0.7941,3,-0.5861,0.1402,9,-0.6007,0.1128,9,0.6264,0.3012,8,"3,174,128,031",0.828,2,1.46,0.6068,4,10.3562,0.3954,7,2.32,0.5926,5,1.42,0.6221,4,0.208,0.6791,4,46.09,0.4524,6,1.1566,0.7317,3,0.0578,0.6002,5
-0.1416,-0.1048,-0.0306,3051 力特,M2326 光電業,-0.0497,0.1873,9,-0.5237,0.1796,9,-0.4986,0.1731,9,0.8878,0.1281,9,"5,473,301,600",0.6867,4,2.5,0.2837,8,14.433,0.2804,8,3.95,0.7908,3,2.57,0.8379,2,0.0241,0.0811,10,36.45,0.6495,4,8.5833,0.9617,1,-0.0674,0.1271,9
0.0114,0,0.0038,3052 夆典,M2500 建材營造,0.0605,0.506,5,1.4562,0.8401,2,1.2883,0.8456,2,0.5368,0.3921,7,"2,940,548,613",0.8478,2,0.93,0.8806,2,4.2148,0.7612,3,1.67,0.4732,6,0.71,0.4074,6,0.024,0.08,10,65.4,0.149,9,0.0881,0.4074,6,-0.0418,0.1873,9
-0.0122,0,-0.0196,3054 立萬利,M1200 食品工業,-0.0264,0.2432,8,-0.1824,0.4118,6,-0.1852,0.414,6,0.3715,0.5926,5,"1,633,183,580",0.9463,1,2.28,0.3352,7,46.5958,0.0602,10,-1.19,0.1073,9,-1.1,0.0668,10,0.2963,0.8587,2,6.38,0.9858,1,-1.5764,0.0559,10,-0.0246,0.2486,8
-0.0571,0.1319,0.1442,3055 蔚華科,M2329 電子通路業,0.1684,0.7415,3,-0.5804,0.1413,9,-0.5725,0.1292,9,1.4968,0.0131,10,"8,755,546,961",0.5378,5,3.42,0.1632,9,38.7589,0.0756,10,-4.44,0.0307,10,-3.2,0.0142,10,0.5004,0.9847,1,25.41,0.8138,2,-2.0183,0.0449,10,-0.137,0.0416,10
0.1232,0.1128,0.0421,3056 富華新,M2500 建材營造,0.1747,0.7514,3,2.4871,0.8894,2,2.0315,0.8916,2,0.486,0.4622,6,"11,149,055,184",0.4699,6,1.44,0.6156,4,311.2783,0.0164,10,-0.7,0.1358,9,-0.19,0.1457,9,0.1511,0.5126,5,71.28,0.1051,9,-4.3982,0.023,10,0.1178,0.8007,3
