,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
660,5,0.1515,0.7097,3,-0.5056,0.1851,9,-0.4969,0.1763,9,0.5626,0.3636,7,2816000000.0,0.8521,2,0.83,0.9168,1,1.6501,0.9584,1,1.3,0.4118,6,0.84,0.4524,6,0.2118,0.6889,4,47.85,0.4261,6,0.6242,0.6156,4,0.0314,0.4973,6
751,13,0.0383,0.4414,6,-0.0913,0.4721,6,-0.0851,0.4808,6,1.0557,0.0778,10,30659404510.0,0.2432,8,1.25,0.7021,4,10.3195,0.3965,7,1.49,0.4447,6,1.14,0.5389,5,0.1464,0.4951,6,28.47,0.7656,3,-0.0202,0.3242,7,-0.0332,0.2212,8
487,14,0.0646,0.5126,5,-0.7745,0.0285,10,-0.7339,0.0416,10,0.1518,0.8587,2,66001660350.0,0.138,9,3.83,0.1303,9,7.5817,0.5246,5,5.08,0.8839,2,2.81,0.8719,2,0.3149,0.8828,2,47.66,0.4315,6,0.4402,0.5455,5,0.1563,0.8532,2
164,7,0.0658,0.5148,5,-0.1201,0.448,6,-0.1086,0.46,6,0.7292,0.2267,8,3189739900.0,0.8258,2,1.67,0.529,5,7.8237,0.5038,5,2.79,0.6594,4,1.97,0.7514,3,0.0548,0.1928,9,30.55,0.7437,3,0.098,0.4162,6,0.138,0.8291,2
249,20,0.0596,0.5027,6,-0.097,0.4655,6,-0.0831,0.4819,6,0.6687,0.2683,8,23680804866.0,0.2913,8,1.06,0.8138,2,0.7195,0.9967,1,1.7,0.4754,6,0.83,0.448,6,0.1399,0.4688,6,68.83,0.1271,9,0.7644,0.6572,4,-0.0678,0.1249,9
850,20,-0.107,0.0986,10,-0.6097,0.1194,9,-0.5889,0.1216,9,0.6003,0.3242,7,1119474636.0,0.9803,1,2.49,0.287,8,10.8126,0.3757,7,-3.96,0.034,10,-2.93,0.0197,10,0.3936,0.9409,1,22.37,0.8565,2,0.0854,0.4064,6,-0.1471,0.0329,10
803,13,-0.0292,0.2333,8,-0.3765,0.2771,8,-0.3482,0.287,8,0.8074,0.1676,9,27813420136.0,0.264,8,2.97,0.2092,8,32.8659,0.092,10,1.41,0.4272,6,1.29,0.5849,5,0.1642,0.5652,5,8.68,0.9737,1,6.2297,0.9474,1,-0.0689,0.1216,9
75,21,0.593,0.9682,1,20.5322,0.9989,1,11.5622,0.9945,1,0.8547,0.1424,9,2421927973.0,0.8894,2,1.1,0.7886,3,7020.0811,0.0055,10,1.13,0.391,7,0.82,0.4436,6,0.0032,0.0055,10,30.12,0.7525,3,166.5918,1.0,1,0.1286,0.8127,2
114,4,0.0222,0.3844,7,0.2999,0.6396,4,0.3167,0.6769,4,0.1851,0.8182,2,2970232121.0,0.8445,2,0.94,0.8729,2,8.1932,0.4885,6,0.44,0.2705,8,0.35,0.2979,8,0.1054,0.3691,7,44.24,0.5016,6,0.1393,0.437,6,-0.0686,0.1227,9
520,20,-0.1429,0.0602,10,-0.4194,0.23,8,-0.3963,0.2421,8,0.5531,0.3779,7,1169269020.0,0.9792,1,1.96,0.4294,6,6.7673,0.5772,5,2.95,0.6769,4,1.31,0.5947,5,0.1675,0.5717,5,59.43,0.2136,8,0.5259,0.575,5,0.038,0.5181,5
856,13,-0.0749,0.1446,9,-0.2803,0.3428,7,-0.2604,0.3604,7,0.4376,0.5159,5,9517455396.0,0.5225,5,1.91,0.4447,6,16.1384,0.2377,8,1.61,0.4666,6,1.47,0.6429,4,0.1032,0.3593,7,8.4,0.977,1,0.5028,0.5685,5,-0.0541,0.1522,9
105,4,0.5222,0.9507,1,1.0499,0.805,2,0.3682,0.6922,4,1.0899,0.0679,10,195840867737.0,0.0559,10,35.13,0.0022,10,64.4743,0.0449,10,10.5,0.989,1,3.69,0.9507,1,0.1951,0.6528,4,69.82,0.1117,9,1.907,0.8335,2,0.3691,0.9606,1
115,4,0.0341,0.4326,6,-0.0971,0.4633,6,-0.1012,0.4666,6,0.1596,0.8456,2,2451247600.0,0.8861,2,0.66,0.9737,1,6.6048,0.5827,5,0.46,0.2782,8,0.41,0.3198,7,0.1723,0.586,5,14.18,0.9387,1,1.5035,0.7886,3,-0.0272,0.2377,8
382,21,0.135,0.6867,4,7.6569,0.9682,1,5.9975,0.9682,1,0.7216,0.2322,8,4320738900.0,0.7536,3,0.57,0.988,1,7.6881,0.5148,5,-0.67,0.138,9,-0.33,0.1238,9,0.0587,0.2081,8,34.9,0.6769,4,-2.3034,0.0394,10,-0.081,0.0953,10
93,3,0.1174,0.6342,4,1.2825,0.8269,2,1.0468,0.828,2,0.3216,0.6616,4,3775511079.0,0.7919,3,2.43,0.2968,8,8.9588,0.4556,6,8.71,0.9825,1,6.72,0.9967,1,0.6083,0.9934,1,23.74,0.8335,2,0.7555,0.6528,4,0.3632,0.9584,1
515,17,0.0111,0.3483,7,-0.3916,0.2683,8,-0.3851,0.2497,8,1.4041,0.0197,10,274386207189.0,0.0394,10,3.08,0.1972,9,10.3923,0.3943,7,2.7,0.6473,4,1.27,0.5816,5,0.2454,0.7689,3,54.9,0.3023,8,-0.4057,0.172,9,0.0026,0.3593,7
90,21,0.2358,0.816,2,-0.2954,0.3384,7,-0.3189,0.3111,7,0.2937,0.6999,4,3803842795.0,0.7886,3,2.08,0.4009,7,6.6348,0.5816,5,3.31,0.7251,3,1.77,0.7141,3,0.2325,0.7393,3,50.07,0.3779,7,4.3704,0.9288,1,0.0757,0.6791,4
337,13,0.0471,0.4622,6,-0.5275,0.1752,9,-0.5122,0.1687,9,0.4967,0.448,6,34028306110.0,0.2169,8,1.54,0.5706,5,9.779,0.4184,6,2.36,0.6046,4,2.09,0.7656,3,0.2156,0.7021,4,11.15,0.9606,1,0.4701,0.5542,5,0.0293,0.4797,6
900,30,0.015,0.3647,7,-0.2344,0.379,7,-0.222,0.3877,7,0.3124,0.6703,4,20286416936.0,0.3165,7,3.56,0.1501,9,3.458,0.8248,2,3.15,0.6977,4,1.48,0.6473,4,0.0405,0.1479,9,53.64,0.3264,7,0.0427,0.3768,7,-0.112,0.0548,10
836,17,-0.1492,0.0591,10,0.0232,0.5345,5,0.1484,0.6068,4,0.9953,0.0953,10,119797401260.0,0.0953,10,2.88,0.2202,8,16.8715,0.2289,8,-0.33,0.1698,9,-0.21,0.1424,9,0.1868,0.632,4,34.83,0.678,4,-1.0656,0.0789,10,-0.1818,0.0208,10
847,13,0.0026,0.322,7,-0.3268,0.3122,7,-0.3351,0.2957,8,0.3497,0.6232,4,16530089807.0,0.3713,7,1.41,0.6342,4,7.0053,0.5652,5,2.99,0.6824,4,2.62,0.8478,2,0.346,0.9135,1,14.15,0.9398,1,0.5019,0.5674,5,-0.093,0.0767,10
553,20,-0.0692,0.1544,9,-0.2835,0.3406,7,-0.217,0.391,7,0.739,0.2158,8,8619133154.0,0.5422,5,1.74,0.5005,6,5.7484,0.6418,4,2.22,0.575,5,1.45,0.6331,4,0.2823,0.8445,2,41.22,0.5575,5,1.617,0.8018,3,0.0842,0.7119,3
543,15,-0.19,0.0307,10,-0.6465,0.0975,10,-0.6091,0.1051,9,0.6107,0.3111,7,4854701662.0,0.7251,3,2.68,0.2508,8,11.7578,0.3483,7,-0.55,0.1457,9,0.08,0.1895,9,0.1076,0.3757,7,66.35,0.1446,9,0.6605,0.6254,4,-0.0308,0.23,8
558,17,0.0733,0.5301,5,-0.2661,0.3538,7,-0.2663,0.3593,7,1.523,0.011,10,6031034712.0,0.6572,4,2.86,0.2234,8,7.0183,0.5641,5,3.48,0.7579,3,1.78,0.7185,3,0.2629,0.805,2,48.07,0.4162,6,1.5588,0.7952,3,0.1158,0.793,3
95,3,0.0688,0.5192,5,-0.092,0.4688,6,-0.0966,0.4699,6,0.2244,0.7798,3,86056585504.0,0.1161,9,6.82,0.0274,10,9.9972,0.4085,6,7.7,0.9693,1,4.71,0.9814,1,0.1519,0.5192,5,48.33,0.4096,6,0.1804,0.4524,6,0.0154,0.4173,6
11,1,0.1129,0.6254,4,-0.0893,0.4743,6,-0.1309,0.4469,6,0.3576,0.6123,4,29880454955.0,0.2541,8,3.32,0.1698,9,4.3229,0.7481,3,3.58,0.7634,3,1.52,0.6594,4,0.0122,0.0329,10,61.63,0.184,9,-0.126,0.2673,8,0.0775,0.6835,4
448,24,0.2772,0.8467,2,-0.2575,0.3614,7,-0.3076,0.322,7,0.2962,0.6933,4,138549307617.0,0.0832,10,1.08,0.7952,3,16.0769,0.2453,8,2.34,0.5947,5,0.13,0.2026,9,0.0154,0.0427,10,94.45,0.0077,10,-0.1809,0.2432,8,0.0676,0.6451,4
43,2,-0.2107,0.0186,10,-0.6738,0.0789,10,-0.6228,0.092,10,0.6055,0.3187,7,2334871279.0,0.8959,2,0.9,0.8872,2,24.2264,0.1435,9,0.43,0.2694,8,0.41,0.3187,7,0.1676,0.5728,5,3.43,0.9934,1,10.5832,0.9682,1,-0.0037,0.3308,7
42,2,-0.1628,0.0471,10,-0.2744,0.3461,7,-0.2328,0.3801,7,0.0319,0.9463,1,1065363506.0,0.9836,1,1.14,0.7656,3,5.3494,0.6802,4,0.03,0.2048,8,0.02,0.1731,9,0.2324,0.7382,3,19.26,0.8981,2,-0.9635,0.092,10,0.0013,0.3516,7
330,17,-0.0397,0.2048,8,-0.7752,0.0263,10,-0.7533,0.0263,10,0.3232,0.6583,4,1342216869.0,0.965,1,1.09,0.793,3,13.3518,0.3056,7,-1.55,0.0887,10,-1.33,0.0493,10,0.4573,0.9704,1,12.19,0.9529,1,-0.0902,0.2815,8,-0.1461,0.035,10
168,6,0.0029,0.3242,7,-0.3454,0.299,8,-0.3296,0.299,8,0.1586,0.8499,2,1687697689.0,0.9387,1,1.1,0.7897,3,2.711,0.8916,2,1.99,0.5279,5,1.05,0.5181,5,0.1196,0.4064,6,53.89,0.3187,7,0.4767,0.5564,5,-0.0165,0.2738,8
795,28,0.4099,0.9255,1,2.5576,0.8927,2,1.9037,0.8828,2,0.1175,0.8916,2,41633320561.0,0.1884,9,2.53,0.2771,8,6.5383,0.586,5,7.47,0.966,1,4.87,0.9858,1,0.313,0.8795,2,33.03,0.7043,3,0.3086,0.5027,6,-0.0385,0.2048,8
807,29,0.1316,0.6714,4,0.2783,0.632,4,0.1959,0.6287,4,0.637,0.2968,8,3868095000.0,0.7853,3,1.98,0.425,6,3.4098,0.8324,2,2.87,0.6692,4,1.29,0.5882,5,0.2588,0.793,3,56.49,0.2673,8,0.5884,0.5991,5,0.0866,0.7207,3
688,13,-0.0116,0.2815,8,-0.4165,0.2333,8,-0.4206,0.2169,8,0.4989,0.4447,6,8350372941.0,0.5531,5,2.43,0.2957,8,13.6438,0.2979,8,1.32,0.4206,6,1.15,0.5422,5,0.3026,0.8686,2,12.5,0.9507,1,4.2928,0.9277,1,0.0078,0.3855,7
101,4,0.4477,0.9354,1,-0.0864,0.4754,6,-0.3656,0.2694,8,1.0285,0.0876,10,30831321899.0,0.2421,8,5.34,0.0613,10,14.9437,0.2716,8,4.48,0.8368,2,2.11,0.7689,3,0.0776,0.2771,8,51.56,0.3571,7,0.5819,0.5958,5,0.0668,0.6407,4
179,7,0.0293,0.4162,6,0.1805,0.6035,4,0.0833,0.5827,5,0.2802,0.7108,3,73357780697.0,0.1271,9,4.7,0.0909,10,17.4739,0.2191,8,6.01,0.9266,1,3.44,0.9332,1,0.091,0.3253,7,49.97,0.3844,7,-0.132,0.2629,8,0.1187,0.8018,3
786,31,-0.0826,0.1249,9,-0.2297,0.3844,7,-0.207,0.3954,7,0.3323,0.6418,4,71150272080.0,0.1314,9,1.93,0.4359,6,9.1409,0.4491,6,2.28,0.5805,5,0.29,0.2727,8,0.0168,0.0482,10,87.83,0.034,10,-0.0659,0.2968,8,0.194,0.8938,2
800,20,-0.0816,0.1292,9,-0.7679,0.0329,10,-0.7399,0.0361,10,0.5008,0.4425,6,2167625435.0,0.9069,1,1.92,0.4414,6,9.987,0.4118,6,-0.75,0.1314,9,-0.36,0.1194,9,0.1611,0.5531,5,34.97,0.6747,4,0.5912,0.6002,5,-0.0145,0.2837,8
603,16,0.1037,0.6079,4,-0.8801,0.0033,10,-0.8679,0.0022,10,0.7387,0.2169,8,4624179896.0,0.7393,3,1.4,0.6375,4,7.8159,0.5049,5,0.55,0.2903,8,0.46,0.3384,7,0.3159,0.885,2,23.89,0.8313,2,1.8845,0.8302,2,0.123,0.8072,2
178,7,0.1008,0.6024,5,0.1807,0.6046,4,0.1114,0.5926,5,0.2258,0.7777,3,21793484624.0,0.3012,8,2.08,0.3998,7,24.6749,0.1413,9,1.34,0.4217,6,1.2,0.5553,5,0.3529,0.9157,1,12.11,0.954,1,2.333,0.8653,2,0.0003,0.3483,7
478,25,-0.0162,0.2683,8,0.6113,0.7251,3,0.634,0.7623,3,0.0077,0.9529,1,4735091687.0,0.7338,3,1.82,0.4754,6,36.2503,0.08,10,1.92,0.5137,5,1.04,0.5104,5,0.0305,0.1095,9,53.44,0.3286,7,-0.1106,0.2716,8,-0.0003,0.345,7
618,7,0.0911,0.575,5,-0.0893,0.4732,6,-0.1067,0.4611,6,-0.0481,0.9682,1,14144249817.0,0.4096,6,1.79,0.4819,6,6.9265,0.5739,5,2.12,0.5553,5,1.26,0.5783,5,0.1574,0.5389,5,43.13,0.517,5,-0.0825,0.2903,8,0.1009,0.7623,3
723,15,-0.0664,0.1577,9,-0.7834,0.023,10,-0.7504,0.0285,10,0.7017,0.2453,8,4813131128.0,0.7306,3,1.63,0.5433,5,10.4866,0.3888,7,0.15,0.2267,8,0.13,0.2048,8,0.2057,0.6736,4,19.58,0.8938,2,-0.3785,0.1796,9,-0.0394,0.1982,9
826,31,-0.1115,0.0931,10,-0.429,0.2212,8,-0.3739,0.2574,8,0.5445,0.3844,7,33603510000.0,0.2202,8,2.95,0.2147,8,-43.4322,0.0022,10,-6.48,0.0186,10,-6.38,0.0044,10,0.0054,0.011,10,1.43,0.9978,1,-28.854,0.0033,10,0.0968,0.7437,3
384,21,0.1627,0.7284,3,3.1632,0.9146,1,2.3673,0.9102,1,0.8106,0.1654,9,19164339161.0,0.3297,7,0.66,0.9715,1,11.2338,0.3636,7,0.47,0.2793,8,0.42,0.3209,7,0.1816,0.6145,4,43.61,0.5093,5,-0.2236,0.2245,8,-0.0285,0.2333,8
258,17,0.0809,0.5487,5,-0.3496,0.2935,8,-0.3394,0.2924,8,0.5575,0.3746,7,17364807786.0,0.356,7,1.42,0.6298,4,3.7338,0.7974,3,1.3,0.4129,6,0.87,0.4611,6,0.2748,0.8346,2,36.76,0.6429,4,-0.4281,0.1621,9,-0.0198,0.2662,8
707,17,0.1649,0.7338,3,0.0865,0.5641,5,0.0098,0.5422,5,0.2728,0.7207,3,9693219409.0,0.5159,5,1.85,0.4666,6,6.0474,0.6188,4,3.02,0.6857,4,1.95,0.7448,3,0.2096,0.6813,4,38.89,0.6057,4,0.9762,0.6977,4,-0.0116,0.2881,8
336,17,0.2903,0.8565,2,1.5278,0.8412,2,1.2078,0.839,2,0.1483,0.8675,2,2504110878.0,0.8784,2,1.47,0.6035,4,3.1952,0.8532,2,-0.43,0.1533,9,0.03,0.1752,9,0.2124,0.6911,4,43.26,0.5159,5,0.7595,0.6539,4,0.0779,0.6857,4
874,4,0.5686,0.9628,1,-0.2249,0.3899,7,-0.3481,0.2881,8,1.3325,0.0241,10,39055426473.0,0.195,9,12.84,0.0055,10,48.9464,0.0581,10,4.89,0.8686,2,2.83,0.874,2,0.1459,0.4918,6,44.45,0.4962,6,0.0152,0.3505,7,0.0434,0.5378,5
15,1,0.0026,0.3231,7,-0.1586,0.4261,6,-0.1715,0.425,6,0.0828,0.9168,1,6149833199.0,0.6484,4,1.35,0.6605,4,1.7222,0.9551,1,0.71,0.3209,7,0.49,0.3483,7,0.0903,0.3209,7,52.99,0.3363,7,-0.2113,0.23,8,0.0396,0.5225,5
3,0,0.1471,0.7043,3,0.8719,0.782,3,0.7333,0.7831,3,0.4068,0.552,5,21190726169.0,0.3089,7,0.93,0.8784,2,11.1029,0.3669,7,1.1,0.3823,7,0.93,0.4808,6,0.0398,0.1424,9,17.59,0.9113,1,-0.0908,0.2804,8,0.0156,0.4195,6
427,22,0.0,0.3122,7,-0.3454,0.2979,8,-0.3381,0.2935,8,0.1135,0.8959,2,3639851216.0,0.7985,3,1.61,0.552,5,3.5634,0.8182,2,0.7,0.3165,7,0.44,0.3297,7,0.2224,0.7218,3,47.69,0.4304,6,8.9897,0.9628,1,-0.0807,0.0964,10
257,17,0.1434,0.6988,4,0.305,0.6418,4,0.1854,0.6232,4,0.5055,0.4381,6,266389552718.0,0.0416,10,1.83,0.4743,6,9.3455,0.4359,6,3.37,0.7415,3,1.53,0.6616,4,0.1377,0.4622,6,59.6,0.2103,8,0.1155,0.4283,6,0.1975,0.8959,2
528,15,-0.0497,0.1873,9,-0.5237,0.1796,9,-0.4986,0.1731,9,0.8878,0.1281,9,5473301600.0,0.6867,4,2.5,0.2837,8,14.433,0.2804,8,3.95,0.7908,3,2.57,0.8379,2,0.0241,0.0811,10,36.45,0.6495,4,8.5833,0.9617,1,-0.0674,0.1271,9
494,17,0.1394,0.6977,4,3.9679,0.9343,1,3.4958,0.9463,1,0.1316,0.885,2,10784172260.0,0.4819,6,0.78,0.9365,1,3.9871,0.782,3,0.84,0.3373,7,0.62,0.3823,7,0.2022,0.6659,4,27.77,0.7755,3,0.3653,0.5203,5,-0.0411,0.1928,9
430,23,0.0025,0.3209,7,0.8044,0.7711,3,0.7797,0.7897,3,0.2302,0.7744,3,3124434318.0,0.8324,2,0.91,0.8861,2,9.3107,0.4392,6,1.38,0.425,6,1.33,0.6046,4,0.2972,0.862,2,61.6,0.1851,9,2.1599,0.8543,2,0.0148,0.414,6
394,21,0.1764,0.7536,3,2.6538,0.8959,2,2.338,0.908,1,0.3849,0.5794,5,14487477235.0,0.3998,7,1.81,0.4797,6,4.317,0.7492,3,2.51,0.621,4,0.97,0.4951,6,0.1874,0.6331,4,64.75,0.1522,9,-0.1212,0.2683,8,0.0992,0.7579,3
223,11,0.0946,0.5816,5,2.9568,0.908,1,2.6945,0.9211,1,0.3688,0.598,5,9584916442.0,0.5192,5,1.19,0.7404,3,174.8147,0.0197,10,-1.23,0.103,10,-0.51,0.1041,10,0.0771,0.276,8,48.21,0.414,6,0.8217,0.6703,4,0.4154,0.9715,1
180,8,-0.0525,0.1763,9,-0.0771,0.4765,6,-0.0438,0.5126,5,0.5246,0.4173,6,49873242720.0,0.1654,9,1.02,0.8335,2,5.0553,0.6999,4,-0.57,0.1446,9,-0.19,0.1435,9,0.0685,0.2432,8,43.65,0.5082,5,0.6944,0.6331,4,0.0114,0.3987,7
695,21,0.1262,0.6583,4,14.3745,0.9923,1,11.2242,0.9934,1,0.9075,0.115,9,12500035242.0,0.4381,6,0.93,0.8773,2,73.7635,0.0361,10,-3.62,0.0405,10,-0.52,0.103,10,0.0051,0.0088,10,75.32,0.0789,10,-1.9218,0.0493,10,0.0646,0.6309,4
910,26,0.2888,0.8543,2,8.4969,0.977,1,5.9006,0.966,1,-0.0482,0.9693,1,3124960497.0,0.8313,2,1.99,0.4217,6,11.4514,0.356,7,-2.43,0.0668,10,-0.89,0.0767,10,0.0433,0.1599,9,55.08,0.2957,8,0.0064,0.3395,7,-0.0384,0.2059,8
325,15,-0.094,0.1095,9,-0.5879,0.138,9,-0.5536,0.149,9,0.422,0.5378,5,5161022698.0,0.7065,3,1.44,0.6166,4,9.3052,0.4403,6,-0.36,0.1643,9,-0.23,0.138,9,0.2125,0.6922,4,23.13,0.8434,2,0.5632,0.5904,5,-0.0773,0.1041,10
540,13,-0.1208,0.0811,10,-0.6615,0.0865,10,-0.6275,0.0898,10,0.5342,0.3954,7,2551187618.0,0.874,2,2.8,0.2333,8,69.0911,0.0416,10,0.18,0.2289,8,0.17,0.2245,8,0.6065,0.9923,1,14.24,0.9376,1,-0.8767,0.103,10,-0.0431,0.184,9
9,1,0.0175,0.3735,7,-0.1793,0.4151,6,-0.1569,0.4294,6,0.2528,0.7382,3,50055783747.0,0.1643,9,2.25,0.345,7,1.9782,0.9398,1,3.53,0.7612,3,1.91,0.736,3,0.0931,0.3319,7,51.7,0.3549,7,0.1105,0.4261,6,0.0802,0.6944,4
250,17,0.0014,0.3154,7,-0.5319,0.1698,9,-0.5262,0.1621,9,0.8361,0.1533,9,83001961280.0,0.1194,9,2.43,0.2979,8,5.3354,0.6824,4,2.53,0.6243,4,1.36,0.6123,4,0.1498,0.5071,5,51.19,0.3625,7,1.7754,0.8182,2,0.0856,0.7174,3
22,1,-0.0202,0.2563,8,-0.376,0.2782,8,-0.3699,0.264,8,0.0582,0.9321,1,2999426925.0,0.8412,2,2.23,0.3549,7,5.1608,0.6966,4,2.31,0.5915,5,1.47,0.6418,4,0.0864,0.3078,7,40.39,0.5739,5,0.0563,0.3855,7,0.0382,0.5192,5
357,19,0.0294,0.4173,6,-0.7429,0.0449,10,-0.7361,0.0394,10,0.4342,0.5235,5,2506667652.0,0.8773,2,3.03,0.1993,9,15.1664,0.2662,8,1.04,0.3713,7,0.67,0.3976,7,0.4697,0.9759,1,35.14,0.6725,4,0.1216,0.4304,6,0.0398,0.5246,5
222,11,0.327,0.885,2,11.6513,0.9858,1,8.4069,0.988,1,0.1214,0.8905,2,45820052939.0,0.1763,9,3.18,0.184,9,23.2169,0.1533,9,0.05,0.207,8,0.09,0.1917,9,0.0365,0.1292,9,75.39,0.0778,10,1.0948,0.7229,3,0.1326,0.8215,2
636,12,-0.0773,0.1391,9,-0.4001,0.2508,8,-0.3523,0.2848,8,0.6629,0.2716,8,11375548516.0,0.4633,6,1.53,0.5783,5,6.9518,0.5706,5,2.17,0.5652,5,1.4,0.6188,4,0.2486,0.7788,3,39.52,0.5904,5,0.0848,0.4042,6,-0.0046,0.3253,7
782,14,0.0409,0.4491,6,-0.716,0.0613,10,-0.7023,0.0548,10,0.5338,0.3976,7,25714714195.0,0.2804,8,2.52,0.2782,8,14.2661,0.2859,8,3.84,0.782,3,3.21,0.9146,1,0.3258,0.8938,2,17.35,0.9135,1,0.3898,0.5279,5,0.3084,0.9518,1
895,26,0.1481,0.7054,3,1.5452,0.8434,2,1.327,0.8478,2,-0.2215,0.988,1,15654091392.0,0.3855,7,2.39,0.3056,7,5.3272,0.6835,4,4.62,0.8521,2,2.56,0.8346,2,0.0387,0.1402,9,44.99,0.4841,6,0.5982,0.6057,4,-0.0533,0.1555,9
538,17,0.1239,0.6484,4,0.7017,0.7448,3,0.5989,0.7459,3,0.4209,0.5411,5,13373338682.0,0.4184,6,2.15,0.3757,7,4.6848,0.7317,3,4.33,0.8215,2,2.96,0.8905,2,0.1777,0.6068,4,38.76,0.609,4,0.7211,0.6418,4,0.0231,0.4502,6
341,16,0.0462,0.4611,6,-0.3526,0.2903,8,-0.3585,0.2771,8,0.1359,0.8795,2,9718021658.0,0.5148,5,1.67,0.5312,5,1.1947,0.9737,1,2.16,0.563,5,1.35,0.609,4,0.2299,0.7327,3,42.16,0.5411,5,-0.3136,0.1961,9,0.0482,0.5564,5
432,23,0.1652,0.7349,3,4.4675,0.9419,1,3.6145,0.9485,1,0.4225,0.5367,5,3845387883.0,0.7864,3,0.72,0.9595,1,7.6851,0.5159,5,0.0,0.1982,9,0.25,0.2574,8,0.0196,0.0559,10,69.15,0.1238,9,1.0022,0.701,4,-0.0049,0.3209,7
758,12,-0.0393,0.2059,8,-0.3927,0.2662,8,-0.3967,0.241,8,0.6714,0.2651,8,6515188120.0,0.632,4,2.29,0.3319,7,4.6967,0.7306,3,1.6,0.4644,6,0.88,0.4644,6,0.077,0.2738,8,56.34,0.2727,8,10.5304,0.9671,1,0.2085,0.9025,1
529,21,0.0605,0.506,5,1.4562,0.8401,2,1.2883,0.8456,2,0.5368,0.3921,7,2940548613.0,0.8478,2,0.93,0.8806,2,4.2148,0.7612,3,1.67,0.4732,6,0.71,0.4074,6,0.024,0.08,10,65.4,0.149,9,0.0881,0.4074,6,-0.0418,0.1873,9
204,10,0.2656,0.8379,2,0.0432,0.5455,5,-0.0333,0.5203,5,0.473,0.4765,6,8812273888.0,0.5356,5,2.08,0.402,7,6.1996,0.6046,4,9.4,0.9836,1,5.0,0.9901,1,0.0796,0.2848,8,50.04,0.3812,7,1.2901,0.7536,3,0.0908,0.7273,3
238,12,-0.1976,0.0252,10,-0.596,0.1325,9,-0.5473,0.1555,9,0.5937,0.3286,7,39640950000.0,0.1917,9,2.07,0.4053,6,5.2186,0.6933,4,3.27,0.7174,3,2.57,0.839,2,0.2958,0.8576,2,21.58,0.8719,2,0.5534,0.5849,5,-0.0387,0.2037,9
94,3,-0.0647,0.1643,9,-0.146,0.4337,6,-0.0805,0.4885,6,0.3957,0.563,5,134439884390.0,0.0854,10,6.43,0.034,10,17.6137,0.2147,8,5.78,0.9168,1,4.37,0.9726,1,0.127,0.4228,6,30.74,0.7404,3,0.724,0.6473,4,0.0138,0.4074,6
860,4,0.0877,0.5663,5,-0.5494,0.161,9,-0.5558,0.1435,9,0.3553,0.6188,4,3403558241.0,0.8182,2,1.73,0.5071,5,4.8456,0.7152,3,0.08,0.2158,8,0.09,0.1939,9,0.1476,0.4995,6,31.23,0.7349,3,-0.8676,0.1073,9,-0.0838,0.0898,10
898,29,0.2937,0.8642,2,0.7867,0.77,3,0.6113,0.7503,3,0.1465,0.8697,2,7546795555.0,0.5893,5,1.14,0.7689,3,1.7463,0.9529,1,2.02,0.54,5,1.06,0.5225,5,0.183,0.621,4,60.41,0.2004,9,1.9011,0.8324,2,-0.0242,0.2508,8
569,13,-0.0342,0.218,8,-0.0607,0.4863,6,0.0518,0.5619,5,1.1912,0.046,10,187138654913.0,0.0602,10,16.1,0.0033,10,32.8869,0.0909,10,6.61,0.9463,1,3.07,0.9014,2,0.4316,0.9595,1,53.2,0.3319,7,-0.2907,0.2081,8,0.0685,0.655,4
285,17,0.8421,0.988,1,0.2478,0.6232,4,0.0626,0.5685,5,1.4904,0.0153,10,24540735227.0,0.287,8,1.73,0.506,5,5.8945,0.6331,4,2.74,0.6528,4,1.45,0.6298,4,0.0384,0.1358,9,55.08,0.2968,8,1.6973,0.8116,2,-0.008,0.3023,8
185,8,0.1128,0.6243,4,4.3132,0.9409,1,3.4708,0.9441,1,-0.2337,0.989,1,5605224867.0,0.6813,4,0.78,0.9343,1,4.9487,0.7043,3,-0.25,0.1752,9,-0.1,0.1577,9,0.1014,0.3527,7,35.47,0.6637,4,-0.4,0.1731,9,0.0593,0.609,4
732,17,0.72,0.9792,1,0.3741,0.6714,4,-0.0121,0.529,5,1.6032,0.0099,10,17963448089.0,0.3472,7,5.3,0.0646,10,12.2205,0.333,7,7.49,0.9682,1,4.67,0.9781,1,0.184,0.6221,4,42.21,0.54,5,1.3145,0.7601,3,0.2651,0.9332,1
435,23,-0.1202,0.0843,10,0.5319,0.7152,3,0.6288,0.759,3,0.0223,0.9485,1,3182938500.0,0.8269,2,2.68,0.2486,8,25.2708,0.1391,9,-0.78,0.1271,9,-0.53,0.1019,10,0.032,0.1172,9,29.34,0.7612,3,-1.7019,0.0526,10,-0.0417,0.1895,9
