,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
762,14,0.1201,0.6386,4,-0.3994,0.2519,8,-0.4369,0.2114,8,0.6502,0.2826,8,41984095808.0,0.1862,9,2.28,0.3363,7,1.2832,0.9704,1,2.62,0.6364,4,1.19,0.5487,5,0.1758,0.5969,5,63.17,0.1698,9,0.2821,0.4929,6,0.2236,0.908,1
693,21,0.3785,0.9179,1,11.1524,0.9836,1,7.8743,0.9825,1,-0.1152,0.9814,1,58563755784.0,0.1501,9,1.02,0.8302,2,17.9158,0.2114,8,0.98,0.3571,7,0.47,0.3406,7,0.0673,0.241,8,54.65,0.3078,7,-0.6031,0.1336,9,0.0235,0.4513,6
387,21,-0.0372,0.2114,8,0.0758,0.5586,5,0.0818,0.5816,5,0.6761,0.2596,8,2636144024.0,0.8664,2,1.64,0.5411,5,1.3339,0.9682,1,3.19,0.7021,4,0.83,0.4491,6,0.162,0.5542,5,74.8,0.0821,10,-0.176,0.2464,8,0.0015,0.3527,7
884,28,0.3352,0.8916,2,-0.0919,0.4699,6,-0.1777,0.4195,6,0.4476,0.5093,5,70283258004.0,0.1325,9,2.88,0.2212,8,11.9861,0.3417,7,1.95,0.5181,5,1.22,0.5597,5,0.0898,0.3198,7,42.53,0.5279,5,-0.2644,0.2191,8,-0.0721,0.1117,9
510,17,-0.1136,0.0898,10,-0.2971,0.3363,7,-0.2932,0.3352,7,1.0187,0.0898,10,8127733880.0,0.5586,5,2.84,0.2256,8,4.0072,0.7798,3,4.2,0.8083,2,2.26,0.793,3,0.2581,0.7908,3,47.0,0.4425,6,0.6436,0.6232,4,0.0585,0.6035,4
268,16,-0.1289,0.0679,10,-0.1947,0.4042,6,-0.1089,0.4589,6,1.0409,0.0821,10,258279201282.0,0.0438,10,8.56,0.0142,10,13.7035,0.2957,8,8.08,0.9748,1,3.72,0.9518,1,0.2113,0.6857,4,53.37,0.3297,7,0.1013,0.4195,6,0.4132,0.9693,1
746,14,-0.1568,0.0537,10,-0.3218,0.3176,7,-0.1889,0.4074,6,1.0448,0.0811,10,16761004292.0,0.3625,7,4.96,0.08,10,10.7366,0.379,7,5.09,0.885,2,2.39,0.8105,2,0.1064,0.3713,7,56.46,0.2705,8,0.0124,0.3461,7,0.434,0.977,1
442,24,0.0483,0.4677,6,0.3513,0.6616,4,0.3356,0.6857,4,0.2381,0.7601,3,194307849564.0,0.057,10,1.02,0.8291,2,18.8882,0.1993,9,2.0,0.5301,5,0.13,0.2037,9,0.0164,0.0471,10,93.59,0.012,10,0.1099,0.4239,6,0.1059,0.7755,3
497,20,-0.0757,0.1413,9,0.8434,0.7788,3,0.9769,0.8171,2,-0.0544,0.9704,1,1026683602.0,0.9847,1,10.18,0.0099,10,10.5176,0.3855,7,-70.35,0.0033,10,-6.32,0.0055,10,0.0299,0.1062,9,94.13,0.0099,10,-9.161,0.0131,10,0.1634,0.8609,2
113,4,0.1143,0.6276,4,-0.052,0.4907,6,-0.0816,0.4863,6,1.0921,0.0646,10,5166852805.0,0.7054,3,2.92,0.2169,8,35.3526,0.0832,10,-0.89,0.1227,9,-0.34,0.1227,9,0.086,0.3045,7,44.33,0.4995,6,-1.364,0.069,10,0.0211,0.4414,6
692,21,0.1004,0.5991,5,0.7351,0.7525,3,0.6306,0.7612,3,0.4927,0.4556,6,6473484038.0,0.6331,4,1.22,0.724,3,4.3389,0.747,3,-1.85,0.0811,10,-1.1,0.0657,10,0.213,0.6944,4,37.2,0.6331,4,-0.2044,0.2322,8,0.1925,0.8916,2
233,12,0.1638,0.7327,3,0.1562,0.5958,5,0.0541,0.5641,5,0.7661,0.1982,9,71262508681.0,0.1303,9,2.11,0.3932,7,5.8147,0.6396,4,3.38,0.7459,3,2.56,0.8357,2,0.1048,0.3658,7,27.07,0.7897,3,-0.1543,0.2563,8,0.1028,0.7678,3
790,31,0.0513,0.4765,6,-0.351,0.2913,8,-0.3677,0.2683,8,0.1264,0.8861,2,9250595399.0,0.5279,5,4.04,0.1161,9,17.2373,0.2212,8,3.38,0.7437,3,1.34,0.6057,4,0.029,0.103,10,64.14,0.161,9,0.5815,0.5947,5,0.0205,0.437,6
608,18,0.0104,0.345,7,-0.531,0.1709,9,-0.5166,0.1676,9,0.4636,0.4896,6,141376417433.0,0.0767,10,1.78,0.4874,6,0.7772,0.9945,1,2.24,0.5761,5,1.04,0.5115,5,0.0464,0.1676,9,72.95,0.0964,10,1.8464,0.8248,2,0.1913,0.8905,2
672,19,0.9355,0.9912,1,0.4278,0.6857,4,0.1676,0.6145,4,1.3022,0.0296,10,8490894905.0,0.5455,5,5.84,0.0438,10,18.9851,0.1972,9,10.99,0.9912,1,8.13,0.9989,1,0.7276,1.0,1,23.06,0.8467,2,2.0956,0.8478,2,-0.1799,0.0219,10
374,17,0.0712,0.5225,5,0.3788,0.6747,4,0.2763,0.6659,4,0.7627,0.2026,9,9964395416.0,0.5071,5,3.92,0.1227,9,11.5887,0.3527,7,5.86,0.9233,1,3.34,0.9299,1,0.1818,0.6156,4,46.29,0.4502,6,-0.0887,0.2848,8,0.0535,0.5816,5
893,31,0.0244,0.3998,7,0.1249,0.5827,5,0.1506,0.6079,4,0.2092,0.7996,3,1287307642.0,0.9693,1,0.49,0.9967,1,5.6155,0.6528,4,0.39,0.2596,8,0.32,0.287,8,0.0333,0.1216,9,60.48,0.1982,9,1.485,0.7864,3,0.0981,0.7525,3
766,16,0.7255,0.9803,1,0.6447,0.7327,3,0.4256,0.7065,3,1.0072,0.0942,10,13311245555.0,0.4206,6,3.85,0.1281,9,16.1091,0.241,8,4.95,0.8751,2,3.41,0.9321,1,0.244,0.7656,3,27.53,0.7798,3,32.8143,0.9967,1,0.1845,0.885,2
234,12,0.1,0.5947,5,0.8499,0.7809,3,0.7275,0.782,3,0.2658,0.7262,3,59894499721.0,0.1468,9,2.49,0.2881,8,3.5615,0.8193,2,5.54,0.9102,1,2.45,0.8193,2,0.1359,0.4502,6,56.78,0.2607,8,0.0244,0.3647,7,0.0805,0.6966,4
715,17,0.003,0.3253,7,-0.7263,0.057,10,-0.6949,0.0581,10,0.1829,0.8258,2,1864673382.0,0.9288,1,1.32,0.6736,4,2.4608,0.9124,1,-16.84,0.0055,10,-3.62,0.0131,10,0.0868,0.3089,7,78.06,0.0602,10,-1.4889,0.0624,10,-0.0417,0.1884,9
677,15,0.3036,0.8719,2,-0.3018,0.3341,7,-0.335,0.2968,8,1.6347,0.0055,10,16076015873.0,0.379,7,5.52,0.0537,10,16.9442,0.2267,8,3.82,0.7798,3,2.45,0.8182,2,0.0426,0.1555,9,40.62,0.5696,5,0.1575,0.4425,6,0.0527,0.5772,5
318,14,0.1143,0.6265,4,-0.7875,0.0197,10,-0.756,0.0219,10,1.604,0.0088,10,5822220170.0,0.6681,4,2.29,0.3297,7,7.6323,0.5203,5,0.15,0.2278,8,0.15,0.2147,8,0.3892,0.9398,1,27.27,0.7864,3,0.9401,0.6878,4,-0.0417,0.1906,9
649,6,-0.0286,0.2355,8,0.3197,0.6484,4,0.3933,0.7032,3,0.581,0.3428,7,7586259042.0,0.5838,5,1.37,0.6506,4,6.9585,0.5696,5,1.14,0.3932,7,0.89,0.471,6,0.2749,0.8357,2,31.68,0.7284,3,1.9694,0.8412,2,-0.0918,0.0811,10
