,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
48,-0.0179,1409 ·sÅÖ,M1400 ¯¼Â´ÅÖºû,0.1067,0.6123,4,-0.2635,0.3571,7,-0.2848,0.3417,7,0.4351,0.5225,5,25991329451.0,0.276,8,0.71,0.9639,1,2.3874,0.9179,1,1.12,0.3855,7,0.35,0.2957,8,0.0571,0.2004,9,77.37,0.0657,10,13.3635,0.9748,1,0.1145,0.7919,3
49,-0.0118,1410 «n¬V,M1400 ¯¼Â´ÅÖºû,0.0283,0.4107,6,-0.5504,0.1588,9,-0.5484,0.1544,9,0.2062,0.8028,2,2383882200.0,0.8905,2,2.1,0.3943,7,43.5532,0.0657,10,1.29,0.4107,6,1.08,0.5301,5,0.3561,0.9189,1,17.87,0.9091,1,1.3336,0.7656,3,-0.011,0.2913,8
50,0.1184,1413 §»¬w,M1400 ¯¼Â´ÅÖºû,0.0728,0.5279,5,8.0481,0.9737,1,6.745,0.9803,1,0.151,0.8609,2,1303949921.0,0.9671,1,1.1,0.7908,3,2.0918,0.9343,1,-1.32,0.0964,10,-0.45,0.1062,9,0.0281,0.0975,10,54.98,0.299,8,0.5879,0.598,5,-0.0887,0.0854,10
51,0.0982,1414 ªF©M,M1400 ¯¼Â´ÅÖºû,0.124,0.6506,4,-0.3622,0.2848,8,-0.3572,0.2793,8,0.0523,0.9365,1,4345000000.0,0.7503,3,1.36,0.6528,4,31.0089,0.0986,10,0.58,0.2957,8,0.45,0.333,7,0.0368,0.1314,9,30.4,0.7481,3,3.0369,0.8927,2,-0.0147,0.2826,8
52,-0.0409,1416 ¼sÂ×,M9900 ¨ä¥L,0.1144,0.6298,4,-0.0289,0.5038,5,-0.0623,0.5016,6,0.3708,0.5947,5,2343151291.0,0.8938,2,0.6,0.9814,1,29.6185,0.1062,9,0.91,0.3505,7,0.76,0.4239,6,0.0316,0.1128,9,21.73,0.8686,2,17.4399,0.9814,1,0.0825,0.7054,3
53,-0.0217,1417 ¹Å¸Î,M1400 ¯¼Â´ÅÖºû,-0.0338,0.2202,8,-0.0045,0.5203,5,0.0217,0.5476,5,0.3008,0.6867,4,2136674752.0,0.9102,1,0.82,0.9189,1,8.9919,0.4535,6,-0.15,0.1851,9,-0.05,0.1632,9,0.2078,0.6769,4,22.59,0.8532,2,-1.2917,0.0712,10,-0.2254,0.011,10
54,-0.0744,1418 ªFµØ,M1400 ¯¼Â´ÅÖºû,0.1053,0.609,4,-0.6988,0.0657,10,-0.7021,0.0559,10,0.4768,0.4688,6,1790280734.0,0.9343,1,1.55,0.5685,5,463.5631,0.0142,10,-2.8,0.0548,10,-0.42,0.1106,9,0.1861,0.6276,4,72.9,0.0975,10,-0.5369,0.1479,9,0.058,0.6013,5
55,0.0094,1419 ·s¯¼,M1400 ¯¼Â´ÅÖºû,0.0519,0.4797,6,3.9639,0.931,1,3.4954,0.9452,1,0.2678,0.7251,3,13944688525.0,0.4129,6,0.99,0.8478,2,16.1842,0.2355,8,0.67,0.3133,7,0.53,0.3571,7,0.0575,0.2048,8,27.74,0.7766,3,-0.0073,0.3308,7,0.1396,0.8324,2
56,0.0994,1423 §QµØ,M1400 ¯¼Â´ÅÖºû,0.1282,0.6627,4,2.3816,0.885,2,2.2549,0.9025,1,0.1491,0.8642,2,3416959814.0,0.816,2,1.04,0.8171,2,85.0244,0.0296,10,0.07,0.2125,8,0.06,0.1829,9,0.0872,0.3122,7,8.33,0.9792,1,-0.9317,0.0964,10,-0.033,0.2223,8
57,-0.0139,1432 ¤j¾|»Õ,M3700 ¹B°Ê¥ð¶¢,-0.1612,0.0493,10,-0.8437,0.0099,10,-0.8167,0.011,10,0.387,0.5739,5,1938600000.0,0.9255,1,2.21,0.3571,7,6.0187,0.6232,4,-0.15,0.1862,9,0.24,0.2541,8,0.1024,0.356,7,84.38,0.0427,10,-1.0195,0.0832,10,0.0186,0.4294,6
